slot,name,tone_bytes_hex,volume,bender_dco,bender_vcf,bender_lfo,portamento,key_mode,transpose,master_tune_cents,velocity,unit_character,product_chorus_noise,polyphony,oversample_factor,frames,sample_peak,sample_peak_dbfs,samples_over_0dbfs,max_400ms_stereo_rms,max_400ms_stereo_rms_dbfs,relative_gate_db,gated_windows,total_windows,relative_gated_stereo_rms,relative_gated_stereo_rms_dbfs,corpus_median_gated_rms_dbfs,gated_delta_from_median_db,crest_db,warnings
B68,"OW Bass",32000032003f5441007f467f006b002f391f,0.616999984,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.248600453,-12.089961682,0,0.077513153,-22.212491987,-42.212491987,98,259,0.036079484,-28.854793737,-31.649175361,2.794381624,16.764832056,""
B71,"Piccolo",461c000e0004003f10625710676a15003c09,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.145264238,-16.756825787,0,0.051269020,-25.802899649,-45.802899649,195,259,0.016866447,-35.459527862,-31.649175361,-3.810352501,18.702702075,""
B72,"Melodic Taps",630000007f487000007f7f00180018004100,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.148801714,-16.547841315,0,0.020530450,-33.752030615,-53.752030615,21,259,0.011299153,-38.939082432,-31.649175361,-7.289907071,22.391241118,""
B73,"Meow Brass",337f0049002d6423004154045a001b00321c,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.164743230,-15.663848481,0,0.055631367,-25.093605417,-45.093605417,208,259,0.026880254,-31.411332663,-31.649175361,0.237842698,15.747484182,""
B74,"Violin (high)",472d1600005900000378552b2d391a003418,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.130190969,-17.708382844,0,0.041470008,-27.645317627,-47.645317627,209,259,0.014681605,-36.664529472,-31.649175361,-5.015354111,18.956146628,""
B75,"High Bells",1e2d7f00004c7f00007f6f0016343b002400,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.204606012,-13.781632209,0,0.039631250,-28.039244625,-48.039244625,250,259,0.016020274,-35.906601475,-31.649175361,-4.257426114,22.124969265,""
B76,"Rolling Wah",24000069003c09007f004d22377f69002a18,0.679000020,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.258180261,-11.761539301,0,0.076094173,-22.372971979,-42.372971979,258,259,0.037219730,-28.584535580,-31.649175361,3.064639781,16.822996278,""
B77,"Ping Bell",000b0068004c7f00007f5300171739004c18,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.274065614,-11.242909015,0,0.038087666,-28.384312698,-48.384312698,229,259,0.009912266,-40.076540880,-31.649175361,-8.427365519,28.833631865,""
B78,"Brassy Organ",100000440008005700340e00246d00385918,0.750000000,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.197347417,-14.095371050,0,0.062163004,-24.129360167,-44.129360167,218,259,0.035035632,-29.109800982,-31.649175361,2.539374379,15.014429933,""
B81,"Low Dark Strings",152d05510047000000672853176d2a001918,0.538999975,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.235492632,-12.560453535,0,0.061499540,-24.222562700,-44.222562700,226,259,0.033464441,-29.508328402,-31.649175361,2.140846959,16.947874867,""
B82,"Piccolo Trumpet",337f00490000005e007f61032c330b00321c,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.181939423,-14.801463735,0,0.059174280,-24.557340409,-44.557340409,58,259,0.026048305,-31.684410651,-31.649175361,-0.035235290,16.882946916,""
B83,"Cello",392d1500004b0003012d6d30415a22003118,0.612999976,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.252208918,-11.964791209,0,0.076739983,-22.299566045,-42.299566045,214,259,0.037271298,-28.572509561,-31.649175361,3.076665800,16.607718352,""
B84,"High Strings",50000a46005c00000047301b393929001c18,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.259861797,-11.705151250,0,0.077768740,-22.183898716,-42.183898716,219,259,0.029079110,-30.728377831,-31.649175361,0.920797530,19.023226582,""
B85,"Rocket Men",6c000000006e7f503f7f00007f335900021a,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.139671713,-17.097830801,0,0.043617239,-27.206836679,-47.206836679,253,259,0.017806081,-34.988632874,-31.649175361,-3.339457513,17.890802073,""
B86,"Forbidden Planet",320b002c001d0458055f4f0030172a094c01,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.187423900,-14.543500598,0,0.043417226,-27.246758511,-47.246758511,47,259,0.018052506,-34.869249940,-31.649175361,-3.220074579,20.325749342,""
B87,"Froggy",4e00000000377f2b007f4d000000007f2917,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.231389582,-12.713123963,0,0.061843944,-24.174056485,-44.174056485,219,259,0.032866872,-29.664832542,-31.649175361,1.984342819,16.951708578,""
B88,"Owgan",3200002d00265420007f6500313700383919,0.611000001,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.272264987,-11.300164091,0,0.084513247,-21.461504249,-41.461504249,217,259,0.035605605,-28.969632522,-31.649175361,2.679542839,17.669468431,""
